iter	MultiClass
0	1.271627802
1	1.17812889
2	1.107536301
3	1.042110884
4	0.9882089576
5	0.944146374
6	0.9029909133
7	0.8759451237
8	0.8484705483
9	0.8221432051
10	0.7983982847
11	0.7777431015
12	0.7513306438
13	0.7316986113
14	0.7095997572
15	0.6951471067
16	0.6820864847
17	0.6638400068
18	0.6518173315
19	0.6406564947
20	0.6313538331
21	0.6213574834
22	0.6093402452
23	0.6044684229
24	0.597000204
25	0.5813826388
26	0.5730589564
27	0.5659586757
28	0.5567571631
29	0.5485514327
30	0.5418340587
31	0.5391937618
32	0.5324006418
33	0.5259439973
34	0.5192033145
35	0.5132650892
36	0.5032390794
37	0.4982803762
38	0.4910649367
39	0.4848876842
40	0.4777771239
41	0.4729889222
42	0.4704217953
43	0.4631626649
44	0.4543801128
45	0.4486167831
46	0.4418511691
47	0.4357077595
48	0.4285624434
49	0.425083495
50	0.4193614789
51	0.4149903161
52	0.4090491129
53	0.4025971255
54	0.3985840907
55	0.3953166779
56	0.3908402126
57	0.3871220383
58	0.3829766581
59	0.3779612256
60	0.3733426832
61	0.3671181585
62	0.3635818061
63	0.3609884063
64	0.3569966299
65	0.353638863
66	0.3504103401
67	0.3471821171
68	0.3439561039
69	0.3415070262
70	0.3389347497
71	0.3355818611
72	0.3319771569
73	0.3273469164
74	0.3234436319
75	0.3196665522
76	0.3176483618
77	0.313528206
78	0.309636924
79	0.3061656474
80	0.3036584735
81	0.3012584121
82	0.298116338
83	0.2958500441
84	0.293733877
85	0.2899659127
86	0.2871723421
87	0.2847822069
88	0.2826990087
89	0.2812197904
90	0.2786642505
91	0.2759135486
92	0.2731467532
93	0.2699868978
94	0.2679764934
95	0.2647009845
96	0.2635153461
97	0.2602641847
98	0.2591456662
99	0.256356067
100	0.2548516907
101	0.2532331777
102	0.2513172454
103	0.2487474635
104	0.2471421476
105	0.2457078173
106	0.2436609797
107	0.2421821895
108	0.240122387
109	0.2383107904
110	0.2366560206
111	0.2355343322
112	0.2340830011
113	0.2323595325
114	0.2305660497
115	0.2288038968
116	0.2267541837
117	0.2249851176
118	0.2236843938
119	0.2224178197
120	0.2212101802
121	0.219429403
122	0.2169054658
123	0.2152118438
124	0.2134072577
125	0.2113213993
126	0.2098714709
127	0.2081653709
128	0.2063850359
129	0.205240093
130	0.2038676513
131	0.2025521328
132	0.2001557372
133	0.1986865974
134	0.196628611
135	0.1952454053
136	0.1940818949
137	0.192701594
138	0.1917808765
139	0.1906008232
140	0.1888603547
141	0.1875882984
142	0.1858812243
143	0.1845379023
144	0.1839000769
145	0.1826946414
146	0.1818581529
147	0.1810887609
148	0.179669047
149	0.1781918649
150	0.1774553013
151	0.1767969561
152	0.1752730334
153	0.173726786
154	0.172882806
155	0.1714635046
156	0.170477274
157	0.1691594551
158	0.168225855
159	0.1668744879
160	0.1648281571
161	0.1634563541
162	0.1624244928
163	0.1615488369
164	0.1609622684
165	0.1600364579
166	0.1590202259
167	0.1579441529
168	0.1567687159
169	0.156160669
170	0.1547317601
171	0.1532755293
172	0.1525199356
173	0.1517718153
174	0.1507695549
175	0.1499030997
176	0.1486440472
177	0.1474864455
178	0.1464833021
179	0.1458714177
180	0.1450362363
181	0.1440719693
182	0.142974704
183	0.1420618777
184	0.1411211755
185	0.140203819
186	0.1394141959
187	0.1387155634
188	0.1380325983
189	0.137567588
190	0.1372712218
191	0.1362624984
192	0.1359104145
193	0.1353166355
194	0.1343499796
195	0.1334036662
196	0.132774363
197	0.1319305931
198	0.131155538
199	0.130612813
200	0.1297587395
201	0.1290261242
202	0.1283853087
203	0.1278419889
204	0.1270789785
205	0.1266643909
206	0.1261392255
207	0.1254396076
208	0.1245072125
209	0.1240819966
210	0.1234861335
211	0.1228977876
212	0.1222066307
213	0.1216623524
214	0.1206361368
215	0.1201041742
216	0.1194335675
217	0.1188958791
218	0.1182270498
219	0.1174996464
220	0.1169152071
221	0.1162216558
222	0.1155614803
223	0.1150692844
224	0.1144387614
225	0.1136942082
226	0.1131072327
227	0.1124869036
228	0.112045656
229	0.1114164829
230	0.1109643383
231	0.1103932017
232	0.1097664375
233	0.1093493228
234	0.1089425033
235	0.1081639884
236	0.1078059256
237	0.1073219681
238	0.1065192444
239	0.1061528334
240	0.1056371929
241	0.1050204945
242	0.1041114886
243	0.103418485
244	0.1028647745
245	0.1023499386
246	0.1016104367
247	0.1009958278
248	0.1003877768
249	0.1000981146
250	0.09945710947
251	0.09907982254
252	0.09846963559
253	0.0980968018
254	0.09738961078
255	0.09714357804
256	0.09690944625
257	0.09635802976
258	0.09584325645
259	0.09553081087
260	0.09519085607
261	0.09458767796
262	0.09427064657
263	0.09380751915
264	0.09334065468
265	0.0929498647
266	0.09236213246
267	0.09199143354
268	0.09144245024
269	0.0909408882
270	0.09057472187
271	0.09025034029
272	0.0899579475
273	0.08958552885
274	0.08930796335
275	0.08888583097
276	0.0885215221
277	0.08817351419
278	0.08788112542
279	0.08757685733
280	0.08730614528
281	0.08689786074
282	0.0864934545
283	0.08598009268
284	0.08547954515
285	0.08522069336
286	0.08509754547
287	0.08473859428
288	0.08433218274
289	0.08409446839
290	0.08379839207
291	0.08338228301
292	0.08314261916
293	0.08279843321
294	0.08239307222
295	0.08205702239
296	0.08187510503
297	0.08144933059
298	0.0812420499
299	0.0808502022
300	0.08048545965
301	0.08027751692
302	0.08014335104
303	0.07989671864
304	0.07957614292
305	0.07922950485
306	0.07902910638
307	0.07869847973
308	0.07844861678
309	0.07803358465
310	0.07767555664
311	0.07737553653
312	0.07695635601
313	0.07674261013
314	0.07616946795
315	0.07591981613
316	0.07571968049
317	0.07550719755
318	0.07511679273
319	0.07479710762
320	0.07439992406
321	0.07408042132
322	0.07376167178
323	0.0734317964
324	0.07316604787
325	0.07303161784
326	0.07271167168
327	0.07238781675
328	0.07215765875
329	0.07197648652
330	0.07168062721
331	0.07139867936
332	0.07115958039
333	0.07096364281
334	0.07074246625
335	0.07058597656
336	0.07040368223
337	0.07022020788
338	0.06983198738
339	0.0695618686
340	0.06941180794
341	0.06917661531
342	0.06903064255
343	0.0688017992
344	0.06858707727
345	0.06830521129
346	0.06809107513
347	0.06793587583
348	0.06766812403
349	0.06733301961
350	0.06699148167
351	0.06670836098
352	0.0664896235
353	0.06632912135
354	0.0660851634
355	0.06587968073
356	0.06576879593
357	0.06542075569
358	0.0651710481
359	0.06491970282
360	0.06473344825
361	0.06445159735
362	0.06425441789
363	0.06401651573
364	0.06383644696
365	0.0636107002
366	0.0634258263
367	0.06318075856
368	0.06300032837
369	0.06276868428
370	0.06258157589
371	0.06246102086
372	0.0622528931
373	0.06208740855
374	0.06191684386
375	0.06167723464
376	0.06149504986
377	0.06134877409
378	0.06115529778
379	0.06093953636
380	0.06078995514
381	0.06052731554
382	0.06037979166
383	0.06011361052
384	0.05991455531
385	0.05964333465
386	0.05936437773
387	0.05919247585
388	0.05897413436
389	0.05877668699
390	0.05858484224
391	0.05822429229
392	0.05791728242
393	0.05769663352
394	0.05755657918
395	0.0573229842
396	0.05709351322
397	0.05689460687
398	0.05669786761
399	0.05647510639
400	0.05639927364
401	0.0562681169
402	0.05605054463
403	0.05594114401
404	0.05576414022
405	0.05559903293
406	0.05546766382
407	0.05522939925
408	0.05506192168
409	0.05492332913
410	0.05477337687
411	0.05455705009
412	0.05432879942
413	0.05421147199
414	0.05404683543
415	0.05380044145
416	0.05361235004
417	0.05351841146
418	0.05339030016
419	0.05325255179
420	0.05311221598
421	0.05297317704
422	0.05271621714
423	0.05250033327
424	0.05224405112
425	0.05205630611
426	0.05196518715
427	0.05164825949
428	0.05150637602
429	0.05138232112
430	0.05122075229
431	0.05103988305
432	0.05095430193
433	0.05080671984
434	0.05073987715
435	0.05056461337
436	0.05039476211
437	0.05024928627
438	0.05008477119
439	0.04997577492
440	0.04980285209
441	0.04969675443
442	0.04954375542
443	0.04933450204
444	0.04925175088
445	0.04907634757
446	0.0489424254
447	0.04877908407
448	0.04863025846
449	0.04846301333
450	0.04830685688
451	0.04815115774
452	0.0480277507
453	0.04793617808
454	0.04783892562
455	0.04773468116
456	0.04758313204
457	0.04744401677
458	0.04735093109
459	0.04724003935
460	0.04714113027
461	0.04703169876
462	0.04680897285
463	0.04676062615
464	0.04669638826
465	0.04661000699
466	0.04644499973
467	0.04630016822
468	0.0461639862
469	0.04603110302
470	0.04588974174
471	0.04580038093
472	0.045638589
473	0.04556227381
474	0.04545094001
475	0.04533007598
476	0.04509868908
477	0.04499620151
478	0.04482629944
479	0.04473033137
480	0.04457227396
481	0.04451002515
482	0.04432347929
483	0.04417593996
484	0.04412167685
485	0.04401314812
486	0.04386848322
487	0.0437210162
488	0.04359613299
489	0.04342474705
490	0.04334072908
491	0.0432443419
492	0.04318135726
493	0.04306791288
494	0.04301672598
495	0.04291321993
496	0.04278441709
497	0.04267753537
498	0.04256137567
499	0.04247964946
