iter	Passed	Remaining
0	16	8469
1	23	5918
2	30	4976
3	35	4386
4	40	4014
5	45	3717
6	50	3582
7	57	3505
8	60	3300
9	64	3148
10	68	3035
11	74	3043
12	79	2964
13	82	2879
14	87	2843
15	91	2756
16	94	2674
17	98	2627
18	103	2616
19	107	2569
20	112	2558
21	116	2527
22	121	2520
23	125	2482
24	129	2460
25	134	2446
26	138	2434
27	142	2400
28	146	2379
29	151	2371
30	154	2336
31	158	2315
32	162	2302
33	166	2282
34	170	2265
35	175	2264
36	178	2238
37	184	2247
38	189	2239
39	194	2237
40	200	2245
41	204	2225
42	207	2208
43	213	2207
44	217	2202
45	221	2190
46	225	2173
47	229	2163
48	234	2157
49	238	2148
50	243	2145
51	250	2157
52	254	2143
53	257	2128
54	263	2131
55	266	2113
56	271	2106
57	274	2088
58	280	2098
59	285	2092
60	291	2095
61	299	2115
62	305	2122
63	313	2135
64	317	2126
65	324	2132
66	328	2125
67	334	2123
68	338	2114
69	342	2106
70	347	2096
71	352	2096
72	357	2093
73	363	2091
74	367	2079
75	372	2076
76	377	2071
77	382	2070
78	387	2064
79	392	2062
80	397	2055
81	402	2051
82	409	2059
83	414	2054
84	420	2055
85	425	2046
86	430	2043
87	437	2048
88	441	2040
89	446	2036
90	453	2038
91	459	2039
92	463	2030
93	470	2030
94	474	2021
95	479	2016
96	486	2020
97	493	2026
98	509	2065
99	516	2065
100	520	2057
101	524	2046
102	529	2039
103	533	2033
104	538	2027
105	543	2019
106	549	2019
107	554	2012
108	558	2003
109	564	2000
110	567	1989
111	572	1982
112	575	1972
113	580	1966
114	584	1958
115	589	1951
116	595	1948
117	600	1943
118	603	1932
119	607	1924
120	611	1916
121	615	1906
122	620	1900
123	624	1894
124	629	1888
125	633	1879
126	637	1871
127	642	1867
128	646	1859
129	650	1851
130	654	1843
131	659	1837
132	663	1831
133	666	1821
134	670	1811
135	674	1804
136	678	1797
137	682	1789
138	688	1787
139	694	1784
140	699	1780
141	705	1779
142	710	1774
143	714	1766
144	717	1757
145	722	1752
146	728	1748
147	733	1744
148	738	1739
149	742	1732
150	747	1727
151	754	1726
152	757	1718
153	763	1714
154	769	1712
155	776	1712
156	784	1713
157	789	1708
158	793	1702
159	799	1698
160	804	1694
161	811	1692
162	816	1687
163	820	1680
164	823	1672
165	827	1664
166	832	1659
167	837	1654
168	840	1646
169	844	1639
170	848	1632
171	852	1625
172	856	1619
173	862	1615
174	867	1610
175	871	1604
176	878	1603
177	883	1598
178	888	1593
179	894	1591
180	901	1588
181	907	1585
182	912	1581
183	916	1573
184	921	1569
185	927	1566
186	931	1559
187	936	1553
188	941	1549
189	944	1541
190	949	1535
191	953	1529
192	959	1525
193	962	1518
194	966	1511
195	970	1505
196	976	1501
197	981	1497
198	986	1492
199	992	1488
200	995	1481
201	999	1474
202	1005	1471
203	1010	1466
204	1016	1462
205	1023	1460
206	1027	1454
207	1030	1447
208	1035	1441
209	1038	1434
210	1041	1427
211	1046	1421
212	1051	1416
213	1055	1410
214	1059	1404
215	1064	1399
216	1069	1394
217	1072	1387
218	1076	1380
219	1079	1374
220	1085	1369
221	1088	1363
222	1095	1361
223	1103	1359
224	1108	1355
225	1116	1354
226	1120	1347
227	1123	1340
228	1128	1335
229	1132	1329
230	1135	1322
231	1139	1316
232	1143	1310
233	1147	1304
234	1151	1298
235	1156	1293
236	1160	1287
237	1165	1282
238	1169	1277
239	1173	1270
240	1178	1266
241	1181	1259
242	1186	1254
243	1189	1247
244	1194	1242
245	1197	1236
246	1202	1231
247	1208	1227
248	1212	1221
249	1216	1216
250	1219	1209
251	1225	1205
252	1228	1199
253	1232	1193
254	1237	1188
255	1243	1185
256	1249	1181
257	1256	1178
258	1261	1173
259	1264	1166
260	1267	1160
261	1272	1156
262	1277	1150
263	1282	1146
264	1287	1141
265	1292	1136
266	1297	1132
267	1301	1126
268	1306	1122
269	1310	1116
270	1315	1111
271	1321	1107
272	1327	1103
273	1332	1098
274	1337	1094
275	1342	1089
276	1347	1084
277	1353	1081
278	1357	1075
279	1362	1070
280	1368	1066
281	1372	1060
282	1377	1056
283	1382	1051
284	1386	1046
285	1390	1040
286	1395	1035
287	1401	1031
288	1406	1026
289	1410	1021
290	1415	1016
291	1418	1010
292	1423	1005
